bid;bname;blang;auth_id;auth_name;sid;sub;cat
11;Alice's Adventures in Wonderland;en;962;Carroll| Lewis;962;Literary;
12;Through the Looking-Glass;en;963;Carroll| Lewis;963;Literary;
16;Peter Pan;en;3665;Barrie, J. M. (James Matthew);1138;Fantasy ;LCSH
33;The Scarlet Letter;en;1101;Hawthorne, Nathaniel;883;Romance fiction;LCSH
46;A Christmas Carol in Prose; Being a Ghost Story of Christmas;en;987;Dickens, Charles;1656;Horror;LCSH
54;The Marvelous Land of Oz;en;731;Baum, L. Frank (Lyman Frank);1138;Fantasy ;LCSH
55;The Wonderful Wizard of Oz;en;731;Baum, L. Frank (Lyman Frank);1138;Fantasy ;LCSH
78;Tarzan of the Apes;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
81;The Return of Tarzan;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
85;The Beasts of Tarzan;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
86;A Connecticut Yankee in King Arthur's Court;en;249;Twain, Mark;119;Fantasy ;LCSH
90;The Son of Tarzan;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
92;Tarzan and the Jewels of Opar;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
96;The Monster Men;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
98;A Tale of Two Cities;en;996;Dickens| Charles;996;Literary;
105;Persuasion;en;959;Austen| Jane;959;Literary;
106;Jungle Tales of Tarzan;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
108;Return of Sherlock Holmes;en;960;Connan| Doyle;960;Detective and Mystery;
122;The Return of the Native;en;471;Hardy, Thomas;883;Romance fiction;LCSH
123;At the Earth's Core;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
139;The Lost World;en;938;Doyle, Arthur Conan;119;Fantasy ;LCSH
141;Mansfield Park;en;968;Austen| Jane;968;Literary;
149;The Lost Continent;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
153;Jude the Obscure;en;471;Hardy, Thomas;883;Romance fiction;LCSH
158;Emma;en;969;Austen| Jane;969;Literary;
160;The Awakening, and Selected Short Stories;en;3078;Chopin, Kate;883;Romance fiction;LCSH
161;Sense and Sensibility;en;4;Jane Austen;;;
169;The Well at the World's End: A Tale;en;127;Morris, William;119;Fantasy ;LCSH
209;The Turn of the Screw;en;785;James, Henry;1656;Horror;LCSH
221;The Return of Sherlock Holmes;en;938;Doyle, Arthur Conan;1706;Detective and mystery ;LCSH
234;Child Christopher and Goldilind the Fair;en;127;Morris, William;119;Fantasy ;LCSH
236;The Jungle Book;en;1207;Kipling, Rudyard;7299;Adventure;LCSH
285;The Lost Continent;en;2690;Hyne, Charles John Cutcliffe Wright;119;Fantasy ;LCSH
288;The Certain Hour (Dizain des Poëtes);en;2226;Cabell, James Branch;119;Fantasy ;LCSH
289;The Wind in the Willows;en;1597;Grahame, Kenneth;119;Fantasy ;LCSH
305;The Count's Millions;en;377;Gaboriau| Emile;377;Detective and Mystery;
310;Before Adam;en;230;London, Jack;119;Fantasy ;LCSH
325;Phantastes: A Faerie Romance for Men and Women;en;50;MacDonald, George;119;Fantasy ;LCSH
331;The Mucker;en;2429;Burroughs, Edgar Rice;79;Adventure;LCSH
363;The Oakdale Affair;en;2429;Burroughs, Edgar Rice;79;Adventure;LCSH
364;The Mad King;en;2429;Burroughs, Edgar Rice;119;Fantasy ;LCSH
419;The Magic of Oz;en;731;Baum, L. Frank (Lyman Frank);1138;Fantasy ;LCSH
420;Dorothy and the Wizard in Oz;en;731;Baum, L. Frank (Lyman Frank);1138;Fantasy ;LCSH
